,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
9247,2,0,2,1,0,0,1,45,2018,6,26,1,0,0,0,95.1,1,0
9248,2,2,2,3,2,0,6,99,2018,10,21,1,0,0,0,236.52,0,1
9249,2,0,2,1,2,0,1,23,2018,1,2,0,0,0,0,109.0,0,0
9250,2,0,2,1,0,0,1,133,2018,9,3,1,0,0,0,118.8,0,1
9251,1,0,2,1,1,0,1,5,2017,10,4,1,0,0,0,96.0,0,0
9252,1,0,0,3,1,0,1,134,2018,6,30,1,0,0,0,90.9,0,1
9253,2,0,1,2,1,0,1,193,2018,6,20,0,0,0,0,120.0,0,1
9254,3,0,1,3,1,0,4,156,2018,10,31,1,0,0,0,122.63,2,1
9255,1,0,0,1,1,1,1,12,2018,10,12,2,1,0,9,67.0,1,0
9256,2,0,0,1,1,0,1,93,2018,7,23,0,0,0,0,72.25,0,0
9257,2,0,1,2,1,0,1,233,2018,10,14,0,0,0,0,90.0,0,1
9258,2,0,1,4,1,0,1,37,2017,11,25,1,0,0,0,94.18,2,0
9259,2,0,1,0,0,0,1,22,2018,9,12,1,0,0,0,89.0,2,0
9260,2,0,1,2,2,0,1,161,2018,3,25,0,0,0,0,130.0,0,1
9261,2,0,1,2,1,0,1,91,2018,4,4,0,0,0,0,80.0,0,1
9262,2,0,0,2,1,0,1,65,2017,7,10,1,0,0,0,68.85,1,1
9263,1,1,0,3,1,0,1,108,2018,5,4,1,0,0,0,92.4,0,0
9264,2,0,1,2,1,0,4,133,2018,6,27,1,0,0,0,109.8,0,1
9265,2,0,0,1,1,0,4,19,2018,4,30,1,0,0,0,156.0,0,1
9266,1,0,0,1,1,0,1,15,2018,8,17,1,0,0,0,124.0,1,0
9267,2,0,2,0,1,0,1,26,2018,10,2,1,0,0,0,160.0,1,0
9268,2,0,0,1,0,0,1,0,2018,8,2,1,0,0,0,73.81,0,0
9269,1,0,0,1,1,0,1,2,2018,1,29,1,0,0,0,80.0,0,0
9270,2,0,0,3,1,0,1,304,2018,11,3,0,0,0,0,89.0,0,1
9271,2,0,0,3,1,0,1,68,2017,12,30,1,0,0,0,93.78,0,0
9272,2,0,0,1,2,0,1,5,2018,4,28,1,0,0,0,130.13,0,0
9273,1,0,0,1,2,0,1,40,2018,7,26,0,0,0,0,95.0,0,0
9274,2,0,2,1,2,0,1,96,2017,7,11,0,0,0,0,94.5,0,0
9275,2,0,1,0,1,0,1,18,2018,12,11,0,0,0,0,80.0,0,0
9276,1,0,2,2,1,0,4,86,2018,11,6,1,0,0,0,146.6,1,1
9277,2,0,0,2,1,0,1,217,2018,9,15,1,0,0,0,126.9,2,1
9278,1,0,0,2,1,0,1,164,2017,10,2,0,0,0,0,100.0,0,0
9279,2,0,0,2,1,0,1,211,2018,5,20,0,0,0,0,100.0,0,1
9280,2,0,1,1,1,0,1,31,2018,2,20,1,0,0,0,72.8,2,0
9281,3,0,2,1,1,0,4,151,2018,7,10,1,0,0,0,168.3,2,1
9282,3,0,2,5,1,0,4,85,2018,7,10,1,0,0,0,140.27,2,0
9283,1,0,2,3,1,0,1,70,2018,10,30,1,0,0,0,87.48,2,0
9284,2,0,2,3,1,0,1,218,2018,8,20,1,0,0,0,90.95,1,1
9285,2,0,0,1,0,0,1,139,2018,7,2,1,0,0,0,85.5,0,1
9286,2,0,0,1,1,0,4,1,2018,5,5,4,1,0,2,0.0,0,0
9287,1,0,2,2,1,0,1,11,2018,7,10,1,0,0,0,145.0,0,1
9288,2,2,1,2,1,0,6,36,2018,2,26,1,0,0,0,160.5,0,1
9289,2,0,2,5,1,0,4,18,2018,8,27,1,0,0,0,142.43,1,1
9290,2,2,0,3,1,0,6,75,2018,4,14,1,0,0,0,157.6,0,1
9291,3,0,1,4,1,0,4,142,2018,8,8,1,0,0,0,138.55,1,0
9292,2,0,2,2,1,0,4,107,2018,4,15,1,0,0,0,95.2,1,0
9293,2,0,2,2,1,0,1,18,2017,9,13,1,0,0,0,96.0,2,0
9294,2,0,0,2,1,0,1,48,2018,9,14,0,0,0,0,130.0,0,0
9295,2,0,1,3,1,0,1,87,2018,4,7,1,0,0,0,82.45,1,0
9296,2,0,0,2,1,0,1,91,2018,5,10,0,0,0,0,75.0,0,1
9297,2,0,0,2,2,0,1,320,2018,8,18,0,0,0,0,115.0,1,1
9298,1,0,2,9,1,0,1,55,2018,12,13,1,0,0,0,74.8,1,0
9299,2,0,1,3,1,0,1,14,2017,8,24,1,0,0,0,90.0,1,0
9300,2,0,0,1,0,0,1,13,2018,6,14,1,0,0,0,89.0,0,0
9301,1,0,0,2,0,0,1,41,2018,6,28,1,0,0,0,107.1,0,1
9302,2,1,1,2,1,0,4,111,2018,8,8,0,0,0,0,94.78,0,0
9303,1,0,0,4,1,0,1,151,2018,1,19,0,0,0,0,71.0,0,0
9304,2,0,0,4,1,0,4,292,2018,12,13,1,0,0,0,86.7,0,1
9305,2,0,2,1,1,0,4,202,2018,10,22,1,0,0,0,109.8,0,1
9306,2,0,0,1,0,1,1,63,2018,7,23,1,0,0,0,103.5,2,0
9307,1,0,1,0,0,0,1,4,2018,4,18,1,0,0,0,89.0,1,0
9308,2,0,0,3,1,0,1,103,2018,5,4,0,0,0,0,80.0,0,0
9309,1,0,0,1,0,0,1,28,2018,11,2,1,0,0,0,110.0,0,1
9310,2,1,0,5,1,0,1,85,2018,8,16,1,0,0,0,134.1,2,0
9311,1,0,1,1,1,0,1,45,2018,9,12,0,0,0,0,81.0,0,0
9312,2,0,0,2,1,0,1,27,2017,9,30,0,0,0,0,108.0,0,0
9313,2,0,2,2,1,0,4,62,2018,3,13,1,0,0,0,63.49,1,0
9314,1,0,0,2,1,0,1,188,2018,6,15,0,0,0,0,130.0,0,1
9315,2,0,0,1,1,0,1,1,2018,8,4,1,0,0,0,151.0,1,0
9316,2,0,0,1,0,0,1,6,2017,8,26,1,0,0,0,97.0,2,0
9317,2,0,2,4,1,0,1,129,2018,8,6,1,0,0,0,114.3,0,1
9318,2,0,0,3,0,0,1,67,2018,3,10,1,0,0,0,67.5,1,0
9319,2,0,3,6,1,0,1,160,2018,7,18,1,0,0,0,97.56,1,0
9320,2,0,0,3,1,0,1,259,2018,5,5,0,0,0,0,90.0,0,1
9321,1,0,1,0,1,0,1,76,2018,10,10,0,0,0,0,120.0,0,1
9322,2,0,1,3,1,0,1,102,2018,12,5,0,0,0,0,68.0,0,0
9323,2,0,0,2,1,0,1,308,2018,11,25,0,0,0,0,52.0,0,1
9324,2,0,0,1,0,0,1,71,2018,11,3,1,0,0,0,79.2,2,0
9325,2,0,1,2,1,0,2,56,2018,2,8,1,0,0,0,71.52,0,0
9326,1,0,0,1,1,1,1,19,2018,10,26,2,1,0,9,98.0,1,0
9327,2,0,0,1,0,0,1,13,2018,9,15,2,0,0,0,100.0,1,0
9328,1,0,0,1,1,0,1,0,2017,12,11,1,0,0,0,0.0,0,0
9329,1,0,0,4,1,0,1,195,2018,10,18,1,0,0,0,90.9,2,1
9330,2,0,0,3,1,0,1,4,2018,2,25,1,0,0,0,93.0,1,0
9331,2,1,0,2,1,0,1,2,2018,12,28,1,0,0,0,142.0,2,0
9332,2,0,1,3,1,0,4,34,2018,9,26,1,0,0,0,95.17,1,0
9333,2,0,0,4,1,0,1,86,2018,3,23,0,0,0,0,61.5,0,0
9334,2,0,3,6,1,0,4,104,2018,7,18,1,0,0,0,120.8,3,0
9335,2,0,0,2,0,0,1,17,2018,3,9,1,0,0,0,79.0,0,0
9336,2,0,0,3,1,0,1,56,2018,12,7,1,0,0,0,93.6,0,1
9337,1,0,0,2,1,0,1,192,2018,6,24,0,0,0,0,95.0,0,0
9338,2,0,0,1,1,0,1,15,2018,2,11,1,0,0,0,100.0,1,0
9339,2,0,0,2,2,0,1,292,2018,7,21,0,0,0,0,115.0,0,1
9340,2,1,2,5,1,0,1,97,2018,12,12,1,0,0,0,103.7,1,0
9341,2,0,2,2,0,0,1,105,2018,10,21,1,0,0,0,108.0,1,1
9342,2,2,1,1,1,0,6,47,2018,8,8,1,0,0,0,207.9,0,1
9343,2,0,0,2,0,0,1,46,2018,6,22,1,0,0,0,89.1,1,0
9344,2,0,0,2,2,0,1,74,2017,9,18,0,0,0,0,101.5,0,0
9345,2,0,1,4,2,0,1,38,2018,12,21,1,0,0,0,120.7,1,0
9346,2,0,1,2,1,0,4,64,2018,10,14,1,0,0,0,132.3,1,0
9347,2,0,1,2,1,0,4,6,2018,5,30,1,0,0,0,155.0,1,0
9348,2,0,1,1,1,0,4,47,2018,10,24,1,0,0,0,101.72,1,0
9349,2,0,2,3,1,0,2,51,2018,4,28,1,0,0,0,116.1,0,1
9350,2,2,2,1,1,0,6,71,2018,10,22,1,0,0,0,190.8,1,0
9351,1,0,0,2,2,0,1,74,2017,9,18,0,0,0,0,87.0,0,0
9352,3,0,1,2,1,0,1,102,2018,6,10,1,0,0,0,159.3,0,0
9353,2,0,0,2,2,0,1,39,2017,8,14,0,0,0,0,101.5,0,0
9354,2,0,1,2,1,0,4,49,2017,11,6,0,0,0,0,60.0,0,0
9355,2,0,0,4,1,0,1,73,2017,7,7,1,0,0,0,68.0,0,1
9356,2,0,2,0,1,0,4,48,2018,10,9,1,0,0,0,139.5,1,1
9357,1,0,0,1,1,0,1,41,2017,10,28,1,0,0,0,120.0,3,0
9358,2,0,0,1,0,0,1,1,2018,2,9,1,0,0,0,79.0,0,1
9359,1,0,1,0,1,0,1,7,2018,5,16,1,0,0,0,97.0,1,0
9360,2,0,2,4,1,0,1,34,2018,1,31,0,0,0,0,50.33,0,0
9361,2,0,0,3,2,0,1,34,2017,9,23,0,0,0,0,224.67,0,1
9362,2,2,1,2,1,1,6,149,2018,8,12,1,0,0,0,195.3,1,0
9363,2,2,1,3,1,0,6,102,2018,6,27,1,0,0,0,173.95,2,0
9364,2,0,0,4,0,0,1,205,2018,10,18,1,0,0,0,85.5,2,1
9365,3,0,1,3,1,0,1,196,2018,9,19,1,0,0,0,150.45,1,1
9366,2,1,1,1,2,0,1,188,2018,8,8,1,0,0,0,164.25,1,1
9367,1,0,1,5,1,0,1,77,2018,2,8,1,0,0,0,69.84,1,0
9368,2,0,2,2,1,0,1,104,2018,7,3,1,0,0,0,114.3,1,0
9369,2,0,2,2,0,0,1,38,2018,8,27,1,0,0,0,107.55,2,0
9370,2,0,0,4,0,0,1,49,2018,3,8,1,0,0,0,63.75,0,1
9371,2,0,2,0,2,0,1,386,2018,10,23,0,0,0,0,115.0,1,1
9372,2,0,0,1,2,0,1,41,2017,9,4,0,0,0,0,110.0,0,0
9373,2,0,0,2,1,0,1,12,2018,2,26,1,0,0,0,93.0,1,0
9374,1,0,0,1,1,0,1,1,2017,8,28,2,1,1,2,65.0,0,0
9375,2,0,1,3,1,0,1,80,2018,2,22,0,0,0,0,60.0,0,0
9376,1,0,1,1,1,0,1,45,2018,11,19,1,0,0,0,86.4,0,1
9377,2,0,0,1,1,0,1,105,2018,4,6,0,0,0,0,75.0,0,1
9378,2,0,2,1,1,0,1,31,2017,12,5,0,0,0,0,63.0,0,0
9379,2,0,1,1,1,0,2,1,2018,1,4,1,0,0,0,76.25,1,0
9380,3,0,0,1,1,0,4,40,2018,7,6,1,0,0,0,150.3,2,0
9381,2,0,1,1,1,0,1,33,2018,1,25,2,0,0,0,64.0,0,0
9382,2,0,2,1,2,0,1,131,2017,8,15,0,0,0,0,94.5,0,0
9383,2,0,2,3,1,0,4,17,2018,12,29,1,0,0,0,125.8,1,0
9384,2,0,2,2,1,0,1,121,2017,12,27,1,0,0,0,72.25,1,0
9385,2,0,0,5,1,0,1,4,2017,8,11,1,0,0,0,90.0,2,0
9386,1,0,0,2,1,1,1,9,2018,3,31,2,0,0,0,67.0,0,0
9387,2,0,2,1,0,0,1,1,2018,12,10,1,0,0,0,90.33,1,0
9388,3,0,1,1,1,0,4,204,2018,12,31,1,0,0,0,133.2,0,0
9389,2,0,0,1,0,0,1,6,2018,8,17,1,0,0,0,118.0,2,0
9390,2,0,0,3,1,0,1,83,2018,11,2,1,0,0,0,90.0,2,0
9391,3,0,1,0,1,0,4,59,2018,3,28,1,0,0,0,123.3,2,0
9392,2,0,0,3,1,0,1,24,2018,9,1,1,0,0,0,122.0,0,0
9393,1,0,0,2,1,0,1,46,2018,11,4,0,0,0,0,67.5,0,0
9394,2,0,1,2,2,0,1,315,2018,9,30,0,0,0,0,160.0,0,1
9395,3,0,2,2,1,0,4,54,2018,1,10,1,0,0,0,95.19,1,0
9396,2,0,0,2,2,0,1,291,2018,8,19,0,0,0,0,115.0,0,1
9397,1,0,0,1,1,1,1,6,2018,11,16,2,1,3,21,67.0,0,0
9398,2,0,1,2,1,0,1,119,2018,3,18,0,0,0,0,55.0,0,0
9399,2,0,2,6,1,0,1,205,2018,9,27,1,0,0,0,111.35,0,1
9400,2,0,2,2,1,0,1,19,2018,10,2,0,0,0,0,85.0,0,0
9401,1,0,0,3,1,0,1,151,2018,1,19,0,0,0,0,70.67,0,0
9402,2,0,2,2,1,0,1,49,2018,3,6,1,0,0,0,75.95,0,0
9403,1,0,0,1,1,0,1,3,2017,8,4,4,0,0,0,0.0,0,0
9404,2,0,1,3,1,1,1,151,2018,7,11,1,0,0,0,110.58,1,1
9405,1,0,1,0,1,0,1,14,2018,12,5,2,0,0,0,67.0,0,0
9406,2,0,1,2,1,0,1,81,2018,2,19,0,0,0,0,60.0,0,0
9407,2,0,2,3,1,0,1,265,2018,10,9,1,0,0,0,100.3,0,1
9408,3,0,0,2,1,0,5,2,2018,10,5,1,0,0,0,225.0,3,0
9409,2,0,0,3,1,0,1,197,2018,8,25,0,0,0,0,112.0,0,1
9410,2,0,2,2,1,0,4,38,2018,3,20,1,0,0,0,103.95,0,0
9411,2,0,1,2,0,0,1,208,2018,8,19,1,0,0,0,91.5,1,0
9412,2,0,2,2,1,0,1,105,2018,6,26,1,0,0,0,99.45,1,0
9413,2,1,1,3,1,0,1,11,2018,12,19,1,0,0,0,103.1,1,0
9414,2,0,2,1,1,0,1,134,2018,8,21,1,0,0,0,114.5,0,0
9415,2,0,0,3,1,0,4,39,2018,3,23,1,0,0,0,121.8,1,1
9416,2,0,0,2,1,0,4,144,2018,6,15,1,0,0,0,140.4,2,0
9417,1,0,2,1,0,0,1,116,2018,12,17,1,0,0,0,79.2,2,0
9418,2,0,0,3,1,0,1,65,2017,10,8,0,0,0,0,72.25,0,0
9419,2,0,0,2,2,0,1,74,2017,9,18,0,0,0,0,109.0,0,0
9420,2,0,0,2,2,0,1,346,2018,9,13,0,0,0,0,115.0,1,1
9421,2,0,0,2,0,0,4,5,2017,9,3,1,0,0,0,124.5,3,0
9422,3,0,2,2,1,0,4,59,2018,12,4,1,0,0,0,119.0,1,0
9423,2,0,0,2,1,0,1,11,2017,8,18,2,0,0,0,75.0,0,1
9424,2,0,0,2,1,0,1,141,2018,9,23,1,0,0,0,123.8,1,0
9425,1,0,0,1,1,0,1,1,2018,1,23,1,0,0,0,85.0,0,0
9426,2,0,1,3,1,0,1,112,2018,12,22,1,0,0,0,88.4,2,1
9427,1,0,0,3,1,0,1,151,2018,1,19,0,0,0,0,71.0,0,0
9428,1,0,0,2,0,0,1,2,2018,11,25,1,0,0,0,104.0,1,0
9429,2,0,2,3,1,0,1,25,2018,1,2,0,0,0,0,91.0,0,0
9430,2,1,0,2,1,0,1,7,2018,11,10,4,0,0,0,0.0,2,0
9431,3,0,2,5,1,0,4,160,2018,8,8,1,0,0,0,138.55,0,1
9432,2,0,0,2,1,0,4,41,2018,6,17,1,0,0,0,142.2,0,1
9433,2,0,0,3,1,0,4,157,2018,6,14,1,0,0,0,132.9,1,1
9434,2,0,2,1,1,0,1,180,2018,10,1,1,0,0,0,108.9,1,1
9435,2,0,2,1,1,0,1,3,2017,9,19,2,0,0,0,120.0,0,0
9436,1,0,0,2,1,0,4,27,2018,4,20,1,0,0,0,105.49,0,1
9437,2,0,1,2,2,0,1,98,2018,5,16,0,0,0,0,105.0,0,0
9438,1,0,0,1,0,0,1,65,2018,11,1,1,0,0,0,79.2,4,0
9439,2,0,0,2,2,0,1,39,2017,8,14,0,0,0,0,101.5,0,0
9440,2,0,1,1,1,0,1,0,2018,10,1,1,0,0,0,165.0,0,0
9441,2,0,2,3,1,0,1,81,2018,4,8,1,0,0,0,90.95,0,1
9442,1,0,1,1,1,0,1,0,2017,9,26,4,0,0,0,170.0,0,0
9443,1,0,0,3,2,0,1,36,2017,10,13,0,0,0,0,91.0,0,0
9444,1,0,2,5,1,0,4,3,2018,9,11,1,0,0,0,179.71,1,1
9445,1,0,1,0,1,0,1,6,2018,10,3,2,1,0,1,89.0,0,0
9446,2,0,1,3,1,0,4,102,2018,5,5,1,0,0,0,132.6,1,0
9447,2,0,0,1,0,0,1,37,2018,5,7,1,0,0,0,89.4,0,0
9448,2,0,2,0,1,0,4,2,2018,5,8,1,0,0,0,118.0,1,0
9449,3,0,2,3,1,0,1,151,2018,7,29,1,0,0,0,133.45,2,1
9450,2,0,0,2,2,0,1,265,2018,6,24,0,0,0,0,115.0,1,1
9451,1,0,0,1,0,0,1,3,2018,10,25,1,0,0,0,84.7,1,0
9452,1,0,0,1,1,0,1,8,2018,5,4,2,1,0,5,67.0,0,0
9453,2,0,1,2,1,0,1,85,2018,4,15,1,0,0,0,96.3,0,1
9454,2,0,0,1,0,0,1,0,2018,2,18,1,0,0,0,79.0,0,0
9455,3,0,1,3,1,0,4,11,2018,5,30,1,0,0,0,141.95,2,0
9456,2,0,2,2,1,0,1,98,2018,5,21,1,0,0,0,119.85,0,0
9457,2,0,0,2,0,0,1,15,2018,8,2,1,0,0,0,124.0,1,0
9458,2,2,2,3,1,0,6,78,2018,12,3,1,0,0,0,147.9,1,0
9459,2,0,0,3,1,0,1,56,2017,10,21,1,0,0,0,94.5,3,0
9460,3,0,0,2,1,0,4,135,2018,10,6,1,0,0,0,151.2,2,0
9461,3,0,0,2,1,0,4,21,2018,12,30,1,0,0,0,375.5,0,0
9462,0,2,0,3,1,0,2,14,2018,6,9,1,0,0,0,116.49,0,0
9463,2,0,2,3,0,0,1,27,2018,12,4,1,0,0,0,54.71,1,0
9464,2,0,1,2,1,0,1,5,2017,10,19,0,0,0,0,90.0,0,0
9465,2,0,2,1,1,0,4,118,2018,10,29,1,0,0,0,104.4,1,0
9466,1,0,0,2,1,0,2,132,2018,8,30,1,0,0,0,70.56,0,0
9467,1,0,1,2,1,0,1,114,2018,7,1,0,0,0,0,75.0,0,1
9468,1,0,0,1,1,0,1,2,2017,7,29,2,0,0,0,65.0,0,0
9469,2,0,0,1,2,0,1,219,2017,9,4,0,0,0,0,108.0,0,1
9470,3,0,1,1,1,0,4,100,2018,7,18,1,0,0,0,146.7,2,0
9471,2,2,4,7,1,0,6,79,2018,10,21,1,0,0,0,172.23,1,0
9472,2,0,0,1,1,0,1,0,2017,8,6,1,0,0,0,81.0,0,0
9473,2,0,1,2,1,0,4,94,2017,11,23,1,0,0,0,65.45,2,0
9474,2,0,0,2,2,0,1,63,2017,9,4,0,0,0,0,116.0,0,0
9475,2,0,2,2,1,0,1,101,2018,2,20,1,0,0,0,67.45,0,0
9476,1,0,0,3,1,0,1,276,2018,9,22,0,0,0,0,95.67,0,0
9477,1,0,2,1,1,0,1,163,2018,10,15,0,0,0,0,115.0,0,1
9478,2,0,1,2,1,0,1,28,2018,6,13,1,0,0,0,102.85,0,1
9479,4,0,1,2,1,0,7,31,2018,9,5,1,0,0,0,197.65,1,0
9480,1,0,1,2,1,0,1,19,2018,9,23,1,0,0,0,117.81,1,0
9481,2,0,2,2,1,0,1,226,2018,10,29,0,0,0,0,70.0,1,0
9482,2,0,1,1,1,0,4,9,2018,2,27,1,0,0,0,115.0,1,1
9483,3,0,0,3,1,0,1,77,2018,5,17,1,0,0,0,159.3,0,1
9484,2,0,2,1,1,0,4,109,2018,5,22,0,0,0,0,90.95,0,0
9485,2,0,0,2,1,0,1,70,2018,6,3,0,0,0,0,100.0,0,0
9486,1,0,0,1,1,0,1,4,2018,7,5,1,0,0,0,151.0,1,0
9487,2,0,2,3,1,0,4,35,2018,9,24,1,0,0,0,139.14,1,0
9488,1,0,0,1,1,0,1,1,2018,1,29,1,0,0,0,90.0,0,0
9489,3,0,0,1,1,0,4,9,2018,5,25,1,0,0,0,147.0,2,0
9490,2,0,0,3,1,0,1,29,2018,3,8,1,0,0,0,86.93,1,0
9491,2,0,0,1,1,0,1,56,2018,6,8,0,0,0,0,120.0,0,0
9492,2,0,0,3,1,0,1,116,2018,5,31,0,0,0,0,75.0,0,0
9493,2,0,1,1,1,0,4,64,2018,8,8,1,0,0,0,158.4,0,0
9494,1,0,1,1,0,0,1,13,2018,11,7,1,0,0,0,134.75,1,0
9495,3,0,2,3,1,0,4,168,2018,8,12,0,0,0,0,107.1,2,1
9496,2,0,0,2,1,0,1,9,2018,5,31,1,0,0,0,111.35,2,0
9497,2,2,0,3,1,0,6,2,2017,9,9,1,0,0,0,174.0,1,0
9498,1,0,0,4,1,0,1,14,2018,5,18,0,0,0,0,72.0,1,0
9499,1,0,1,0,1,0,1,0,2017,11,9,1,0,0,0,91.0,1,0
9500,2,0,0,4,1,0,4,92,2018,5,24,0,0,0,0,106.08,0,0
9501,1,0,0,1,1,0,1,238,2018,10,13,0,0,0,0,80.0,0,0
9502,2,0,1,2,1,0,1,19,2018,10,3,1,0,0,0,149.0,0,1
9503,1,0,0,2,1,0,1,164,2017,10,2,0,0,0,0,100.0,0,0
9504,2,0,2,3,1,0,1,71,2018,3,13,1,0,0,0,73.95,0,1
9505,2,0,0,2,1,1,1,65,2018,9,6,1,0,0,0,107.1,1,0
9506,2,0,1,3,0,0,1,76,2017,10,22,1,0,0,0,58.76,1,0
9507,2,0,5,12,1,0,1,81,2017,8,3,1,0,0,0,76.5,1,1
9508,2,0,2,3,0,1,1,3,2018,11,12,1,0,0,0,99.1,1,0
9509,2,1,0,2,1,0,1,7,2018,12,30,1,0,0,0,158.0,0,0
9510,1,0,1,3,1,0,4,7,2018,10,27,3,0,0,0,110.0,0,0
9511,3,0,1,0,1,0,4,7,2018,5,30,1,0,0,0,141.95,1,0
9512,2,0,0,1,0,0,1,0,2018,7,29,1,0,0,0,89.0,0,0
9513,2,0,0,1,0,0,1,1,2018,12,20,1,0,0,0,79.5,3,0
9514,2,0,2,3,1,0,1,35,2018,3,12,0,0,0,0,63.0,0,0
9515,2,0,0,2,1,0,1,113,2018,6,17,1,0,0,0,126.9,0,1
9516,2,0,2,2,1,0,1,12,2017,12,19,0,0,0,0,58.0,0,0
9517,2,0,0,1,1,0,4,3,2018,9,22,1,0,0,0,194.0,1,0
9518,2,0,0,2,1,0,1,80,2018,4,8,1,0,0,0,96.3,1,0
9519,2,0,2,1,1,0,1,12,2018,1,2,0,0,0,0,82.0,0,0
9520,1,0,0,1,1,0,1,1,2017,10,27,1,0,0,0,120.0,0,0
9521,1,0,0,3,1,0,1,0,2018,2,23,2,0,0,0,66.0,0,0
9522,3,0,0,3,1,0,4,38,2018,5,10,1,0,0,0,159.3,0,1
9523,2,0,2,3,1,0,1,66,2017,9,20,1,0,0,0,89.25,1,0
9524,2,0,2,4,1,0,4,10,2017,9,5,1,0,0,0,110.08,1,0
9525,2,0,0,2,1,0,1,245,2018,6,17,0,0,0,0,75.0,0,1
9526,2,0,0,1,2,0,1,100,2017,10,16,0,0,0,0,108.0,0,1
9527,2,0,1,2,1,0,1,135,2017,9,14,0,0,0,0,90.0,0,0
9528,2,0,2,2,1,0,1,10,2018,2,13,0,0,0,0,85.0,0,0
9529,3,0,2,0,1,0,4,27,2018,4,24,1,0,0,0,153.0,2,0
9530,2,0,1,3,1,0,1,64,2018,4,4,1,0,0,0,99.45,1,0
9531,2,0,0,2,1,0,1,50,2018,11,9,1,0,0,0,145.69,0,1
9532,2,0,0,1,1,0,1,2,2017,9,10,4,0,0,0,0.0,1,0
9533,2,0,1,4,1,0,1,206,2018,7,25,1,0,0,0,90.95,0,1
9534,2,0,0,1,0,0,1,1,2018,9,16,1,0,0,0,159.0,0,0
9535,2,0,0,2,1,0,1,301,2018,11,18,0,0,0,0,52.0,0,1
9536,2,0,2,3,0,0,1,13,2018,8,21,1,0,0,0,82.4,0,0
9537,2,0,0,1,1,0,1,50,2018,5,21,1,0,0,0,126.9,0,1
9538,1,0,2,2,1,0,7,6,2018,9,25,1,0,0,0,211.41,1,0
9539,2,0,0,4,1,0,1,29,2017,10,13,1,0,0,0,96.3,1,0
9540,2,0,0,2,2,0,1,102,2017,10,16,0,0,0,0,109.0,0,0
9541,2,0,2,1,2,0,1,124,2017,8,8,0,0,0,0,94.5,0,1
9542,2,0,0,1,1,0,1,5,2018,6,14,2,0,0,0,100.0,0,0
9543,2,0,0,4,0,0,1,346,2018,12,28,1,0,0,0,72.25,0,1
9544,2,0,0,2,2,1,1,155,2018,6,14,0,0,0,0,119.24,0,1
9545,2,2,1,3,1,0,6,47,2018,8,22,1,0,0,0,207.9,1,1
9546,3,0,0,1,1,0,4,111,2018,7,2,1,0,0,0,146.7,0,0
9547,2,0,0,2,1,0,1,317,2018,9,15,0,0,0,0,120.0,0,1
9548,2,0,0,4,1,0,1,12,2018,5,11,0,0,0,0,104.0,0,0
9549,2,0,1,2,1,0,1,135,2017,9,14,0,0,0,0,90.0,0,0
9550,2,0,0,1,1,0,1,105,2018,4,6,0,0,0,0,75.0,0,1
9551,2,0,0,2,1,0,4,15,2018,9,15,1,0,0,0,141.68,1,1
9552,1,0,0,2,1,1,1,0,2017,10,27,2,1,0,1,65.0,0,0
9553,2,0,2,3,1,0,1,33,2018,9,8,1,0,0,0,135.9,0,1
9554,2,0,0,1,1,0,1,3,2018,6,17,1,0,0,0,141.0,2,0
9555,2,0,0,1,1,0,1,105,2018,4,6,0,0,0,0,75.0,0,1
9556,1,0,2,1,1,0,1,116,2018,2,28,0,0,0,0,61.0,0,1
9557,2,0,1,2,1,0,1,128,2018,6,6,1,0,0,0,126.9,1,0
9558,3,0,1,0,1,0,1,36,2018,4,3,1,0,0,0,150.3,0,0
9559,2,0,2,2,2,0,1,160,2018,10,29,1,0,0,0,125.1,2,1
9560,2,0,0,1,0,0,1,60,2018,6,1,1,0,0,0,116.1,0,1
9561,2,0,2,2,1,0,1,81,2017,10,25,1,0,0,0,89.25,1,1
9562,2,0,1,2,1,0,1,66,2017,10,9,0,0,0,0,75.0,0,1
9563,2,0,1,2,2,0,1,161,2018,3,25,0,0,0,0,130.0,0,1
9564,2,0,2,2,1,0,4,33,2018,3,4,1,0,0,0,97.4,1,0
9565,2,0,1,4,1,1,4,17,2018,6,1,1,0,0,0,144.84,1,0
9566,2,0,2,2,1,0,1,165,2018,7,8,1,0,0,0,99.45,1,0
9567,2,0,2,0,1,0,4,135,2018,7,17,1,0,0,0,127.8,2,0
9568,2,0,0,1,1,0,1,62,2017,9,23,0,0,0,0,71.4,0,0
9569,2,0,0,3,1,0,1,50,2018,1,14,0,0,0,0,52.0,1,0
9570,2,0,0,2,2,0,1,239,2018,6,15,0,0,0,0,112.2,0,1
9571,2,0,1,3,0,0,1,217,2018,9,29,1,0,0,0,101.15,0,1
9572,2,0,1,1,0,0,1,2,2018,1,4,1,0,0,0,75.0,1,0
9573,2,0,1,2,0,0,1,53,2018,7,18,1,0,0,0,72.76,2,0
9574,2,1,0,1,1,0,1,125,2018,7,29,1,0,0,0,130.5,1,0
9575,2,0,2,1,0,0,1,99,2018,7,9,1,0,0,0,109.5,1,0
